"Intent","Question","Answer","Entity"
"capacidades","que sabes hacer Chapala","N/A","Rutas"
"capacidades","que sabes hacer Aviacion","N/A","Rutas"
"capacidades","que sabes hacer Loma Bonita","N/A","Rutas"
"capacidades","que sabes hacer Estadio","N/A","Rutas"
"capacidades","que sabes hacer Mariano Otero","N/A","Rutas"
"capacidades","que sabes hacer Loma Dorada","N/A","Rutas"
"capacidades","que sabes hacer Oblatos","N/A","Rutas"
"capacidades","que sabes hacer Transito","N/A","Rutas"
"capacidades","que sabes hacer Periferico","N/A","Rutas"
"capacidades","que sabes hacer Patria 1","N/A","Rutas"
"capacidades","que sabes hacer Aguilas 1","N/A","Rutas"
"capacidades","que sabes hacer Aguilas 2","N/A","Rutas"
"capacidades","que sabes hacer San Isidro","N/A","Rutas"
"capacidades","que sabes hacer Zapopan 2","N/A","Rutas"
"capacidades","que sabes hacer molesto","N/A","sentimientos"
"capacidades","que sabes hacer decepcionado","N/A","sentimientos"
"capacidades","que sabes hacer pagina web","N/A","servicio"
"capacidades","que sabes hacer reglamento","N/A","servicio"
"capacidades","que sabes hacer reembolso","N/A","servicio"
"capacidades","que sabes hacer transporte ctg","N/A","servicio"
"capacidades","que sabes hacer 3er turno manufactura","N/A","Turnos"
"capacidades","que sabes hacer Turno administrativo 8:30am - 5:30pm","N/A","Turnos"
"capacidades","que sabes hacer 1er turno manufactura","N/A","Turnos"
"capacidades","que sabes hacer Turno administrativo 7am - 4pm","N/A","Turnos"
"capacidades","que sabes hacer 2do turno manufactura","N/A","Turnos"
"capacidades","que sabes hacer Admin","N/A","Turnos_simple"
"capacidades","que sabes hacer Manufactura","N/A","Turnos_simple"
"capacidades","que sabes hacer manufactura","N/A","turnos_tipos"
"capacidades","que sabes hacer administrativos","N/A","turnos_tipos"
"dejar_feedback","Quiero dejar","N/A",
"dejar_feedback","Quiero dejar Corazon","N/A","Easter_Entities"
"dejar_feedback","Quiero dejar Hogwarts","N/A","Easter_Entities"
"dejar_feedback","Quiero dejar queja","N/A","feedback"
"dejar_feedback","Quiero dejar hora","N/A","hora"
"dejar_feedback","Quiero dejar entrada","N/A","io"
"dejar_feedback","Quiero dejar salida","N/A","io"
"dejar_feedback","Quiero dejar subir","N/A","io"
"dejar_feedback","Quiero dejar Link","N/A","Link-instrucciones"
"dejar_feedback","Quiero dejar Instrucciones","N/A","Link-instrucciones"
"dejar_feedback","Quiero dejar Av Belisario Dominguez","N/A","Lugares"
"dejar_feedback","Quiero dejar Centro","N/A","Lugares"
"dejar_feedback","Quiero dejar Plaza Andares","N/A","Lugares"
"dejar_feedback","Quiero dejar Av 18 de marzo","N/A","Lugares"
"dejar_feedback","Quiero dejar Periferico","N/A","Lugares"
"dejar_feedback","Quiero dejar Av Calma","N/A","Lugares"
"dejar_feedback","Quiero dejar Gran Plaza","N/A","Lugares"
"dejar_feedback","Quiero dejar Providencia","N/A","Lugares"
"dejar_feedback","Quiero dejar Glorieta Minerva","N/A","Lugares"
"dejar_feedback","Quiero dejar Plaza Galerias","N/A","Lugares"
"dejar_feedback","Quiero dejar Chapala","Entiendo que necesitas información de la ruta Chapala, ¿qué necesitas?","Lugares"
"dejar_feedback","Quiero dejar Av Chapultepec","N/A","Lugares"
"dejar_feedback","Quiero dejar Fraccionamiento Revolucion","N/A","Lugares"
"dejar_feedback","Quiero dejar Expo Guadalajara","N/A","Lugares"
"dejar_feedback","Quiero dejar El Fortin","N/A","Lugares"
"dejar_feedback","Quiero dejar Periferico esquina con Vallarta","N/A","Lugares"
"dejar_feedback","Quiero dejar Mariano Otero","Entiendo que necesitas información de la ruta Mariano Otero, ¿qué necesitas?","Lugares"
"dejar_feedback","Quiero dejar Av Lopez Mateos Sur","N/A","Lugares"
"dejar_feedback","Quiero dejar UVM Sur","N/A","Lugares"
"dejar_feedback","Quiero dejar Zapopan","N/A","Lugares"
"dejar_feedback","Quiero dejar Av Lopez Mateos","N/A","Lugares"
"dejar_feedback","Quiero dejar Av Lazaro Cardenas","N/A","Lugares"
"dejar_feedback","Quiero dejar Plaza del Sol","N/A","Lugares"
"dejar_feedback","Quiero dejar Plaza patria","N/A","Lugares"
"dejar_feedback","Quiero dejar Avenida Aviacion","N/A","Lugares"
"dejar_feedback","Quiero dejar love","N/A","miscEng"
"dejar_feedback","Quiero dejar ninguna","N/A","ninguno"
"dejar_feedback","Quiero dejar primero","N/A","opciones"
"dejar_feedback","Quiero dejar segundo","N/A","opciones"
"dejar_feedback","Quiero dejar coordinador","N/A","persona"
"dejar_feedback","Quiero dejar creo","N/A","personal"
"dejar_feedback","Quiero dejar eres","N/A","personal"
"dejar_feedback","Quiero dejar vives","N/A","personal"
"dejar_feedback","Quiero dejar tu","N/A","Pronombres"
"dejar_feedback","Quiero dejar Lazaro Cardenas 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Patria 2","N/A","Rutas"
"dejar_feedback","Quiero dejar Zapopan 3","N/A","Rutas"
"dejar_feedback","Quiero dejar Vallarta","N/A","Rutas"
"dejar_feedback","Quiero dejar Lazaro Cardenas 2","Entiendo que necesitas información de la ruta Lázaro Cárdenas 2, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Sauz","N/A","Rutas"
"dejar_feedback","Quiero dejar Santa Margarita","Entiendo que necesitas información de la ruta Santa Margarita, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Zalatitlan 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Artesanos 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Copernico","N/A","Rutas"
"dejar_feedback","Quiero dejar Miravalle","N/A","Rutas"
"dejar_feedback","Quiero dejar Loma Dorada 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Agaves","N/A","Rutas"
"dejar_feedback","Quiero dejar Olivos","N/A","Rutas"
"dejar_feedback","Quiero dejar Tonala","N/A","Rutas"
"dejar_feedback","Quiero dejar San Pedrito","N/A","Rutas"
"dejar_feedback","Quiero dejar El Salto 1","N/A","Rutas"
"dejar_feedback","Quiero dejar San Joaquin","N/A","Rutas"
"dejar_feedback","Quiero dejar San Gaspar","N/A","Rutas"
"dejar_feedback","Quiero dejar Santa Fe 1","N/A","Rutas"
"dejar_feedback","Quiero dejar La Noria","N/A","Rutas"
"dejar_feedback","Quiero dejar Artesanos","N/A","Rutas"
"dejar_feedback","Quiero dejar El Salto","Entiendo que necesitas información de la ruta El Salto, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Loma del Sur","N/A","Rutas"
"dejar_feedback","Quiero dejar Tepeyac","Entiendo que necesitas información de la ruta Tepeyac, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Zapopan 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Santa Fe","N/A","Rutas"
"dejar_feedback","Quiero dejar Real de Colima","N/A","Rutas"
"dejar_feedback","Quiero dejar Chapala","N/A","Rutas"
"dejar_feedback","Quiero dejar Aviacion","Entiendo que necesitas información de la ruta Aviación, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Loma Bonita","N/A","Rutas"
"dejar_feedback","Quiero dejar Estadio","N/A","Rutas"
"dejar_feedback","Quiero dejar Mariano Otero","Entiendo que necesitas información de la ruta Mariano Otero, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Loma Dorada","N/A","Rutas"
"dejar_feedback","Quiero dejar Oblatos","N/A","Rutas"
"dejar_feedback","Quiero dejar Transito","N/A","Rutas"
"dejar_feedback","Quiero dejar Periferico","N/A","Rutas"
"dejar_feedback","Quiero dejar Patria 1","N/A","Rutas"
"dejar_feedback","Quiero dejar Aguilas 1","Entiendo que necesitas información de la ruta Aguilas 1, ¿qué necesitas?","Rutas"
"dejar_feedback","Quiero dejar Aguilas 2","N/A","Rutas"
"dejar_feedback","Quiero dejar San Isidro","N/A","Rutas"
"dejar_feedback","Quiero dejar Zapopan 2","N/A","Rutas"
"dejar_feedback","Quiero dejar molesto","N/A","sentimientos"
"dejar_feedback","Quiero dejar decepcionado","N/A","sentimientos"
"dejar_feedback","Quiero dejar pagina web","N/A","servicio"
"dejar_feedback","Quiero dejar reglamento","N/A","servicio"
"dejar_feedback","Quiero dejar reembolso","N/A","servicio"
"dejar_feedback","Quiero dejar transporte ctg","N/A","servicio"
"dejar_feedback","Quiero dejar 3er turno manufactura","N/A","Turnos"
"dejar_feedback","Quiero dejar Turno administrativo 8:30am - 5:30pm","N/A","Turnos"
"dejar_feedback","Quiero dejar 1er turno manufactura","N/A","Turnos"
"dejar_feedback","Quiero dejar Turno administrativo 7am - 4pm","N/A","Turnos"
"dejar_feedback","Quiero dejar 2do turno manufactura","N/A","Turnos"
"dejar_feedback","Quiero dejar Admin","N/A","Turnos_simple"
"dejar_feedback","Quiero dejar Manufactura","N/A","Turnos_simple"
"dejar_feedback","Quiero dejar manufactura","N/A","turnos_tipos"
"dejar_feedback","Quiero dejar administrativos","N/A","turnos_tipos"
"despedidas","bye","N/A",
"despedidas","bye Corazon","N/A","Easter_Entities"
"despedidas","bye Hogwarts","N/A","Easter_Entities"
"despedidas","bye queja","N/A","feedback"
"despedidas","bye hora","N/A","hora"
"despedidas","bye entrada","N/A","io"
"despedidas","bye salida","N/A","io"
"despedidas","bye subir","N/A","io"
"despedidas","bye Link","N/A","Link-instrucciones"
"despedidas","bye Instrucciones","N/A","Link-instrucciones"
"despedidas","bye Av Belisario Dominguez","N/A","Lugares"
"despedidas","bye Centro","N/A","Lugares"
"despedidas","bye Plaza Andares","N/A","Lugares"
"despedidas","bye Av 18 de marzo","N/A","Lugares"
"despedidas","bye Periferico","N/A","Lugares"
"despedidas","bye Av Calma","N/A","Lugares"
"despedidas","bye Gran Plaza","N/A","Lugares"
"despedidas","bye Providencia","N/A","Lugares"
"despedidas","bye Glorieta Minerva","N/A","Lugares"
"despedidas","bye Plaza Galerias","N/A","Lugares"
"despedidas","bye Chapala","Entiendo que necesitas información de la ruta Chapala, ¿qué necesitas?","Lugares"
"despedidas","bye Av Chapultepec","N/A","Lugares"
"despedidas","bye Fraccionamiento Revolucion","N/A","Lugares"
"despedidas","bye Expo Guadalajara","N/A","Lugares"
"despedidas","bye El Fortin","N/A","Lugares"
"despedidas","bye Periferico esquina con Vallarta","Entiendo que necesitas información de la ruta Periferico, ¿qué necesitas?","Lugares"
"despedidas","bye Mariano Otero","Entiendo que necesitas información de la ruta Mariano Otero, ¿qué necesitas?","Lugares"
"despedidas","bye Av Lopez Mateos Sur","N/A","Lugares"
"despedidas","bye UVM Sur","N/A","Lugares"
"despedidas","bye Zapopan","N/A","Lugares"
"despedidas","bye Av Lopez Mateos","N/A","Lugares"
"despedidas","bye Av Lazaro Cardenas","N/A","Lugares"
"despedidas","bye Plaza del Sol","N/A","Lugares"
"despedidas","bye Plaza patria","N/A","Lugares"
"despedidas","bye Avenida Aviacion","N/A","Lugares"
"despedidas","bye love","N/A","miscEng"
"despedidas","bye ninguna","N/A","ninguno"
"despedidas","bye primero","N/A","opciones"
"despedidas","bye segundo","N/A","opciones"
"despedidas","bye coordinador","N/A","persona"
"despedidas","bye creo","N/A","personal"
"despedidas","bye eres","N/A","personal"
"despedidas","bye vives","N/A","personal"
"despedidas","bye tu","N/A","Pronombres"
"despedidas","bye Lazaro Cardenas 1","N/A","Rutas"
"despedidas","bye Patria 2","N/A","Rutas"
"despedidas","bye Zapopan 3","N/A","Rutas"
"despedidas","bye Vallarta","N/A","Rutas"
"despedidas","bye Lazaro Cardenas 2","N/A","Rutas"
"despedidas","bye Sauz","N/A","Rutas"
"despedidas","bye Santa Margarita","N/A","Rutas"
"despedidas","bye Zalatitlan 1","Entiendo que necesitas información de la ruta Zalatitlan 1, ¿qué necesitas?","Rutas"
"despedidas","bye Artesanos 1","N/A","Rutas"
"despedidas","bye Copernico","N/A","Rutas"
"despedidas","bye Miravalle","Entiendo que necesitas información de la ruta Miravalle, ¿qué necesitas?","Rutas"
"despedidas","bye Loma Dorada 1","N/A","Rutas"
"despedidas","bye Agaves","N/A","Rutas"
"despedidas","bye Olivos","N/A","Rutas"
"despedidas","bye Tonala","N/A","Rutas"
"despedidas","bye San Pedrito","N/A","Rutas"
"despedidas","bye El Salto 1","Entiendo que necesitas información de la ruta El Salto 1, ¿qué necesitas?","Rutas"
"despedidas","bye San Joaquin","N/A","Rutas"
"despedidas","bye San Gaspar","N/A","Rutas"
"despedidas","bye Santa Fe 1","N/A","Rutas"
"despedidas","bye La Noria","N/A","Rutas"
"despedidas","bye Artesanos","N/A","Rutas"
"despedidas","bye El Salto","N/A","Rutas"
"despedidas","bye Loma del Sur","N/A","Rutas"
"despedidas","bye Tepeyac","N/A","Rutas"
"despedidas","bye Zapopan 1","N/A","Rutas"
"despedidas","bye Santa Fe","N/A","Rutas"
"despedidas","bye Real de Colima","N/A","Rutas"
"despedidas","bye Chapala","Entiendo que necesitas información de la ruta Chapala, ¿qué necesitas?","Rutas"
"despedidas","bye Aviacion","Entiendo que necesitas información de la ruta Aviación, ¿qué necesitas?","Rutas"
"despedidas","bye Loma Bonita","N/A","Rutas"
"despedidas","bye Estadio","N/A","Rutas"
"despedidas","bye Mariano Otero","N/A","Rutas"
"despedidas","bye Loma Dorada","N/A","Rutas"
"despedidas","bye Oblatos","N/A","Rutas"
"despedidas","bye Transito","N/A","Rutas"
"despedidas","bye Periferico","N/A","Rutas"
"despedidas","bye Patria 1","N/A","Rutas"
"despedidas","bye Aguilas 1","N/A","Rutas"
